Subject Activity Mean
1 LAYING -0.562911611255539
2 LAYING -0.594554938801989
3 LAYING -0.59842632621547
4 LAYING -0.600275906171113
5 LAYING -0.59602738987166
6 LAYING -0.582493067922139
7 LAYING -0.617707648273444
8 LAYING -0.59533678345489
9 LAYING -0.627386626286394
10 LAYING -0.604927518574841
11 LAYING -0.595303144641248
12 LAYING -0.601370216513872
13 LAYING -0.602841604257323
14 LAYING -0.610177608005162
15 LAYING -0.608613628686864
16 LAYING -0.625143853489437
17 LAYING -0.599068861906119
18 LAYING -0.594513102996289
19 LAYING -0.60334569421077
20 LAYING -0.603095427272892
21 LAYING -0.613675758877626
22 LAYING -0.597893437112844
23 LAYING -0.598603350517156
24 LAYING -0.598072529579968
25 LAYING -0.570587047807129
26 LAYING -0.595254205333886
27 LAYING -0.594096888281148
28 LAYING -0.631110193103237
29 LAYING -0.584565825026074
30 LAYING -0.610720545199801
1 SITTING -0.584725960255462
2 SITTING -0.600393131230662
3 SITTING -0.587788224394425
4 SITTING -0.599869209421733
5 SITTING -0.595146662811886
6 SITTING -0.591247923581489
7 SITTING -0.600501628002714
8 SITTING -0.600673533320371
9 SITTING -0.60997046876361
10 SITTING -0.596116271283258
11 SITTING -0.598457780278531
12 SITTING -0.60855456226386
13 SITTING -0.598516189463807
14 SITTING -0.623596741200323
15 SITTING -0.60012367783369
16 SITTING -0.595799444811891
17 SITTING -0.601819633581572
18 SITTING -0.597541256457032
19 SITTING -0.617821356990207
20 SITTING -0.611578372189852
21 SITTING -0.602270092758525
22 SITTING -0.608107074555336
23 SITTING -0.591440568414947
24 SITTING -0.610192323390129
25 SITTING -0.604509610361155
26 SITTING -0.603944118434526
27 SITTING -0.603338306546586
28 SITTING -0.616165945460807
29 SITTING -0.599502576192753
30 SITTING -0.61101762170298
1 STANDING -0.604246709315753
2 STANDING -0.607694266118594
3 STANDING -0.614465465564024
4 STANDING -0.599570831279334
5 STANDING -0.59099275703927
6 STANDING -0.608446224524601
7 STANDING -0.618483174871523
8 STANDING -0.605993482687088
9 STANDING -0.613981626306951
10 STANDING -0.605014811783196
11 STANDING -0.604886977432674
12 STANDING -0.605736466078446
13 STANDING -0.615774742571177
14 STANDING -0.631031797134703
15 STANDING -0.611901288939454
16 STANDING -0.614099873786586
17 STANDING -0.61632620123835
18 STANDING -0.625999518491724
19 STANDING -0.619975149879974
20 STANDING -0.613397381806977
21 STANDING -0.620404311959377
22 STANDING -0.628399926772542
23 STANDING -0.618083379460514
24 STANDING -0.615423749421368
25 STANDING -0.613945839713307
26 STANDING -0.613241650652751
27 STANDING -0.610806197582251
28 STANDING -0.618516796926162
29 STANDING -0.609616980359735
30 STANDING -0.622602898948469
1 WALKING -0.163082309727183
2 WALKING -0.263447535461266
3 WALKING -0.273821880450755
4 WALKING -0.333616309878114
5 WALKING -0.255474472944623
6 WALKING -0.189527910222856
7 WALKING -0.153995682216284
8 WALKING -0.146954599336204
9 WALKING -0.252828358805236
10 WALKING -0.176003777762687
11 WALKING -0.338059768711685
12 WALKING -0.216009503152813
13 WALKING -0.174015896411719
14 WALKING -0.269661976895567
15 WALKING -0.276794393081715
16 WALKING -0.3394456086821
17 WALKING -0.276365528036381
18 WALKING -0.342449748521331
19 WALKING -0.0582919209468765
20 WALKING -0.0854573801276848
21 WALKING -0.200489403444651
22 WALKING -0.121473745947508
23 WALKING -0.0788643651638404
24 WALKING -0.309113759019627
25 WALKING -0.385361945079112
26 WALKING -0.271406731805143
27 WALKING -0.266781630894431
28 WALKING -0.285088922798751
29 WALKING -0.216790400944455
30 WALKING -0.245849040422536
1 WALKING_DOWNSTAIRS -0.123381646209478
2 WALKING_DOWNSTAIRS -0.0960628386705871
3 WALKING_DOWNSTAIRS -0.210455379815377
4 WALKING_DOWNSTAIRS -0.237339899003328
5 WALKING_DOWNSTAIRS -0.137460044128552
6 WALKING_DOWNSTAIRS -0.00181489215397099
7 WALKING_DOWNSTAIRS -0.152405983197827
8 WALKING_DOWNSTAIRS 0.00160145094544304
9 WALKING_DOWNSTAIRS -0.156501892566705
10 WALKING_DOWNSTAIRS -0.0933115238128125
11 WALKING_DOWNSTAIRS -0.213173995361216
12 WALKING_DOWNSTAIRS -0.153828979531464
13 WALKING_DOWNSTAIRS -0.154798328885655
14 WALKING_DOWNSTAIRS -0.0195228493394599
15 WALKING_DOWNSTAIRS -0.117572917318394
16 WALKING_DOWNSTAIRS -0.202456371341026
17 WALKING_DOWNSTAIRS -0.230166805184095
18 WALKING_DOWNSTAIRS -0.34903537222669
19 WALKING_DOWNSTAIRS 0.131192702848313
20 WALKING_DOWNSTAIRS -0.0716770818880729
21 WALKING_DOWNSTAIRS -0.133868540547457
22 WALKING_DOWNSTAIRS -0.131500793139993
23 WALKING_DOWNSTAIRS -0.000956979995532116
24 WALKING_DOWNSTAIRS -0.21659658268443
